공원명,주소,위도,경도
반지산(돌산) 근린공원,경기도 평택시 이충동 662,37.058844,127.064732
봉골 근린공원(고덕일반산업단지),경기도 평택시 고덕면 여염리 1683공,37.026177,127.063527
봉남 근린공원,경기도 평택시 진위면 봉남리 산22-1,37.105507,127.092851
부락산분수 근린공원,경기도 평택시 이충동 279-1,37.065121,127.067652
상서재 근린공원(동삭2지구),경기도 평택시 칠원동 산56,37.022294,127.098857
상서재서초 근린공원(동삭2지구),경기도 평택시 칠원동 산63,37.035098,127.105155
서정 근린공원,경기도 평택시 서정동 201-7 201-8,37.063181,127.060854
석정 근린공원,경기도 평택시 이충동 산81-1,37.056071,127.061922
송탄 근린공원,경기도 평택시 지산동 산 182-3,37.078655,127.059925
수촌 근린공원(수촌지구),경기도 평택시 칠원동 313-1,37.01944,127.109343
신장 근린공원,경기도 평택시 신장동 370-2,37.085894,127.051198
신촌 새말 근린공원(신촌지구 동부 101호),경기도 평택시 칠원동 산36-36,37.024067,127.104973
여염 근린공원(고덕일반산업단지),경기도 평택시 고덕면 여염리 1650공,37.03082,127.055173
장당(석정) 근린공원,경기도 평택시 장당동 636 636-2,37.052747,127.063266
장당택지 근린공원,경기도 평택시 이충동 615,37.050776,127.057345
장안하늘채 근린공원(동부 25호),경기도 평택시 장안동 621,37.057621,127.077627
제1호 근린공원(가재지구),경기도 평택시 가재동 436-1,37.044253,127.07525
제1호 근린공원(브레인시티 일반산업단지),경기도 평택시 장안동 204-2,37.052902,127.087992
제2호 근린공원(가재지구),경기도 평택시 가재동 산58-1,37.042392,127.083782
제2호 근린공원(브레인시티 일반산업단지),경기도 평택시 장안동 61-4,37.056557,127.092852
제3호 근린공원(브레인시티 일반산업단지),경기도 평택시 장안동 산130,37.050579,127.092787
진위 근린공원,경기도 평택시 진위면 견산리 산16,37.109273,127.074837
진위산업단지 근린공원,경기도 평택시 진위면 청호리 342-4,37.122825,127.082002
충의 근린공원,경기도 평택시 이충동 692,37.059477,127.071108
칠괴 근린공원,경기도 평택시 칠괴동 579-1,37.032169,127.088287
가곡5리 마을쉼터,경기도 평택시 진위면 가곡리 419-4,37.115643,127.072373
견산1리 마을쉼터,경기도 평택시 진위면 견산리 409-1 410-1,37.108159,127.073751
견산2리 마을쉼터,경기도 평택시 진위면 견산리 24-3,37.107169,127.080433
견산3리 마을쉼터,경기도 평택시 진위면 견산리 372 396 373,37.109004,127.072384
견산5리 마을쉼터,경기도 평택시 진위면 견산리 439-2,37.107212,127.072677
고덕당현1리 마을쉼터,경기도 평택시 고덕면 당현리 341-1,37.065287,127.033445
고덕문화마을2 마을쉼터,경기도 평택시 고덕면 해창리 1148-4,37.038078,127.014455
마두1리 마을쉼터,경기도 평택시 서탄면 마두리 40-3,37.109829,127.023405
마산1리 마을쉼터,경기도 평택시 진위면 마산리 829-1,37.084656,127.084434
목천 마을쉼터,경기도 평택시 신장동 327-15 327-14 326-5~7,37.083503,127.054172
문곡1리 마을쉼터,경기도 평택시 고덕면 문곡리 419 419-1,37.066241,127.011993
수월암2리 마을쉼터,경기도 평택시 서탄면 수월암리 406 409 434-1,37.118986,127.034179
신리 마을쉼터,경기도 평택시 진위면 신리 126-3,37.097397,127.071037
신흥 마을쉼터,경기도 평택시 신장동 646-8,37.08666,127.05754
적봉 마을쉼터,경기도 평택시 서정동 972,37.077714,127.042113
하북2리 마을쉼터,경기도 평택시 진위면 하북리 187-12,37.104372,127.058457
하북3리 마을쉼터,경기도 평택시 진위면 하북리 350-11,37.099001,127.049593
회화리 마을쉼터,경기도 평택시 서탄면 회화리 133,37.09506,127.022973
부락산 문화공원(동부 130호),경기도 평택시 지산동 519-4,37.0714,127.075284
