,사업장명,주소,위도,경도
736,이마트24R고덕DS타워점,경기도 평택시 고덕동 2588-2 1층 ,37.0411802,127.0398993
737,이마트24 지제삼성점,경기도 평택시 지제동 424-4 ,37.0202680,127.0631154
746,씨유송탄중앙동점,경기도 평택시 이충동 495-21 1층 ,37.0551396,127.0560781
748,이마트24알(R)지제역 더샵점,경기도 평택시 지제동 33 지제역 더샵 센트럴시티 ,37.0229866,127.0763383
752,지에스25고덕미래점,경기도 평택시 고덕동 2074-6 헤븐하우스 1층 ,37.0431900,127.0539623
753,씨유 평택인벤스점,경기도 평택시 평택동 316 롯데인벤스 스카이 ,36.9885983,127.0889534
756,세븐일레븐평택지산1호점,경기도 평택시 지산동 758-53 1층 101호 ,37.0812426,127.0583960
759,씨유 팽성내리공원점,경기도 평택시 팽성읍 원정리 159-1 ,36.9753793,127.0366575
760,CU평택호반점,경기도 평택시 고덕동 2664-2 호반써밋 고덕국제신도시 에듀파크 1439동 1층 102호,37.0368028,127.0307857
764,이마트24평택이마트점,경기도 평택시 비전동 1106 골든타워 ,36.9993801,127.1139666
766,씨유평택고덕수변점,경기도 평택시 고덕동 1873-1 101호,37.0594052,127.0520483
772,세븐일레븐 평택 아름드리,경기도 평택시 포승읍 석정리 1116-14 2동 ,36.9866100,126.8903363
778,지에스25평택효성점,경기도 평택시 비전동 1089 평택 센트럴 해링턴 플레이스 ,37.0004280,127.1081602
781,이마트24알평택고덕센터점,경기도 평택시 고덕동 2113-6 1층 ,37.0447604,127.0508985
793,지에스25송탄대옥점,경기도 평택시 독곡동 398-25 1층 ,37.0857084,127.0588063
794,GS25용이타운점,경기도 평택시 용이동 464-1 ,36.9951214,127.1382010
795,지에스25이충동령점,경기도 평택시 이충동 210 A동 B101호,37.0614952,127.0729810
799,세븐일레븐평택반지마을점,"경기도 평택시 이충동 680 반지마을주공아파트 가상가동 105호, 106호 ",37.0573039,127.0674464
800,이마트24알고덕로데오점,경기도 평택시 고덕동 1887-3 121호 ,37.0573263,127.0482411
804,씨유 평택오성휴게소점,경기도 평택시 오성면 죽리 1-2 평택시죽리평택휴게소 ,37.0078154,126.9691312
807,씨유진위대로점,경기도 평택시 진위면 견산리 66-2 2층 ,37.1042703,127.0829596
809,씨유평택동삭센트럴점,경기도 평택시 동삭동 847-5 ,37.0164771,127.1036501
811,세븐일레븐장당우미점,경기도 평택시 장당동 632 평택장당2차우미이노스빌 상가동 104호,37.0519408,127.0612191
812,씨유 평택동삭자이점,경기도 평택시 동삭동 835 평택센트럴자이 1단지 ,37.0169890,127.0990884
823,지에스25 평택서해로점,경기도 평택시 현덕면 기산리 135-12 101호,36.9459291,126.9137777
830,세븐일레븐고덕창신베스트점,경기도 평택시 고덕동 2226-2 창신베스트 1층 106호,37.0388868,127.0482213
833,세븐일레븐 강변로점,경기도 평택시 안중읍 대반리 465-8 ,36.9801271,126.9523422
834,씨유 청북수자인점,경기도 평택시 청북읍 옥길리 1150 한양수자인아파트 101호,37.0232655,126.9218229
835,씨유평택고덕원룸점,경기도 평택시 고덕동 1813-1 1층 ,37.0630192,127.0487486
