,사업장명,주소,위도,경도
256,퍼스트커피,경기도 평택시 고덕동 2048-2 ,37.0457133,127.0530162
257,위아밀 1호,경기도 평택시 합정동 755-10 ,36.9912369,127.0976603
258,위아밀 2호,경기도 평택시 합정동 755-10 ,36.9912369,127.0976603
262,시에스타(SIESTA),경기도 평택시 안중읍 현화리 540-6 ,36.9860995,126.9158309
265,우지커피 평택진위점,"경기도 평택시 진위면 가곡리 377 외 1필지(376-1), 2동 1층 ",37.1176470,127.0728781
267,송카페&데일리(Song Cafe&Deli),"경기도 평택시 신장동 300-46 외 1필지(300-47), 제2호 1층 ",37.0797596,127.0513541
272,카페큐(Q),경기도 평택시 고덕동 2175-8 1동 1층 ,37.0400842,127.0481077
276,카페캔버스(cafe canbus),경기도 평택시 고덕동 2155 고덕 헤리움 시그니어 1층 122호,37.0412185,127.0511745
279,퐁치커피 평택청북점,경기도 평택시 청북읍 옥길리 1071 브라운스톤청북 ,37.0203861,126.9059856
280,평택커피 임광선(월곡점),경기도 평택시 월곡동 382-6 ,37.0185778,127.1306746
281,빽다방 평택안정점,경기도 평택시 팽성읍 안정리 148-18 ,36.9610100,127.0463913
285,샬롬인더카페,경기도 평택시 서정동 801-19 ,37.0650783,127.0644391
286,메가엠지씨커피 평택고덕에듀스카이점,"경기도 평택시 고덕동 2708-2 외 1필지(2708-3), 에듀스카이 107호 ",37.0361866,127.0281426
292,메가엠지씨커피 평택법원점,경기도 평택시 동삭동 692-11 ,37.0094771,127.0960569
294,러브크레페,경기도 평택시 청북읍 어연리 232-3 1층 ,37.0500114,126.9769478
295,올웨이즈 커피 앤 베이커리(always coffee&bakery),경기도 평택시 팽성읍 안정리 41-66 ,36.9624571,127.0481833
297,타래커피 평택고덕점,경기도 평택시 고덕동 2155 ,37.0412185,127.0511745
302,레인바우(rainbau) 평택점,경기도 평택시 안중읍 학현리 464 ,36.9916046,126.9217237
305,뭉크커피&수제디저트,경기도 평택시 청북읍 옥길리 1137 평택청북 이지더원 근린생활시설 101호,37.0223868,126.9169850
306,슬로우사이드(SLOW SIDE),경기도 평택시 비전동 854-7 ,36.9910461,127.1089400
307,브라운랩(BROWNLAB),경기도 평택시 서정동 843-8 ,37.0659934,127.0613874
308,연화,경기도 평택시 고덕동 2233-2 JTOPIA2 1동 1층 102호,37.0383996,127.0439737
313,오당달,경기도 평택시 비전동 1104 ,36.9991678,127.1125291
314,더벤티,경기도 평택시 안중읍 현화리 831 붐붐프라자 112호,36.9789933,126.9191019
322,도피오 DOPPIO,경기도 평택시 세교동 566-8 ,36.9994981,127.0802826
330,숲속앤독,경기도 평택시 소사동 675-2 ,36.9915131,127.1271797
331,메가엠지씨커피 고덕금호어울림점,경기도 평택시 고덕동 0 고덕국제신도시 금호어울림 ,,
332,쉬즈베이글커피(She's bagel coffee),경기도 평택시 고덕동 1693-453 에듀스카이 제1동 1층 116호 ,37.0364847,127.0280744
336,레드카페,경기도 평택시 용이동 581 평택용이금호어울림 1단지 119호,37.0015751,127.1307921
342,카페나무(Cafe Namu),"경기도 평택시 장당동 1-7 1-20, 636-2, A동 1층 ",37.0527851,127.0640218
351,카페모닝스타(cafe morning star),경기도 평택시 칠원동 367-4 ,37.0246843,127.1082235
353,오마이차일드후드(Oh My Childhood),경기도 평택시 평택동 60-5 ,36.9933987,127.0858082
358,램스카페,경기도 평택시 안중읍 안중리 213 1층 ,36.9899571,126.9341970
