이름,위도,경도
향교아파트,36.9642833,127.0558333
팽성국제교류센터.시립팽성도서관,36.9631833,127.0532167
우미린센트럴파크.호반베르디움(중),37.0051833,127.1120667
우미린센트럴파크,37.0052167,127.10785
이곡마을3단지,37.0043667,127.0997
시립팽성도서관.팽성국제교류센터,36.9632833,127.05285
향교아파트,36.9644,127.0558833
부용초교,36.96465,127.0587667
대원아파트,36.96465,127.0612167
팽성농협.팽성읍사무소,36.9644667,127.0631833
성두아파트,36.9728333,127.0845667
노와3리,36.9586833,127.0963667
노와2리,36.9514167,127.0948167
노와1리,36.9588,127.0899667
평궁3리,36.9686833,127.0941167
평궁1리회관,36.9716,127.08675
성두아파트,36.9727833,127.0843667
두1리,36.97895,127.0650167
신호2리,36.9799667,127.0579667
신호1리,36.9788333,127.0529833
근내리,36.9801667,127.0491
근내2리,36.98005,127.046
원정삼거리,36.9728833,127.0407667
동창리입구,36.9732333,127.0358
내리회관,36.9736167,127.0274
원정리입구,36.9747167,127.0430333
원정리,36.97805,127.0438333
석봉리입구,36.9803167,127.0471
신호1리,36.9790333,127.0529833
신호2리,36.9801833,127.0578667
신궁2리,36.9805,127.0752
배꽃마을,37.0024667,127.1140833
소사벌중심상가.CGV평택소사점,37.0010833,127.1117833
민세안재홍선생생가,37.0577333,127.0182333
두릉리.계루지,37.0567667,127.0148167
문곡4리,37.0561667,127.0113833
문곡3리입구,37.0553167,127.00785
평택지제역,37.0183833,127.0717
모곡동,37.0299167,127.0706
고덕아이파크,37.0339667,127.0701833
송탄공단입구,37.0383167,127.0693833
광동제약.홈플러스,37.0432833,127.06255
효명중고등학교,37.0495167,127.0569
한양아파트,37.0516333,127.0559
이충동현대아파트,37.0536833,127.05525
중앙동주민센터.중앙동우체국,37.0561333,127.0555667
서정리시장,37.05825,127.0552333
중앙동우체국,37.0559833,127.05575
중앙동주민센터,37.0549333,127.0555167
이충동현대아파트,37.0529167,127.0556833
효명중고등학교,37.0495667,127.0570167
광동제약.홈플러스,37.0432833,127.0630833
송탄공단입구,37.0383167,127.06975
고덕아이파크,37.03425,127.0704667
모곡동,37.0298333,127.07095
평택지제역,37.0194833,127.0719833
장미타운,37.0067667,127.0725333
은실,37.0028333,127.0748333
중앙초교후문앞,37.0009167,127.0778833
서민금융지원센터,36.9995667,127.0794
통복시장로터리,36.9952,127.0836333
평택역.AKPLAZA,36.9926833,127.0860167
평택역.AKPLAZA,36.9924333,127.0867333
평택마이스터고사거리,36.9969833,127.0880833
평택교육지원청,36.9994833,127.0887167
통복동신명보람아파트,37.0020167,127.0899833
통복동신명보람아파트,37.0017333,127.0899167
낙촌,37.00015,127.0891667
평택교육지원청,36.9991833,127.0888333
평택마이스터고사거리,36.9971167,127.0883
평택역.AKPLAZA,36.9927833,127.0870167
박애병원,36.9925333,127.0893667
평택터미널,36.9908333,127.0885833
평택터미널,36.9909833,127.08845
박애병원,36.99225,127.0893667
평택경찰서사거리,36.9934667,127.0889667
평택경찰서사거리,36.9937167,127.0897833
원평동주민센터.평택초교,36.9881333,127.0802833
삼성아파트,36.99155,127.07855
화촌.평택역SKVIEW,36.9939167,127.0747333
고잔,36.9969,127.0691833
새터,37.0013167,127.0619333
삽다리마을,37.0028,127.0595
삽다리마을,37.0028333,127.0597833
고잔,36.9970667,127.0691
화촌.평택역SKVIEW,36.9937667,127.0757333
삼성아파트,36.9918167,127.0786167
원평동주민센터.평택초교,36.9883333,127.0805333
군문주공아파트,36.98685,127.0807833
객사리,36.9646833,127.0658
청담중학교,36.9636167,127.06205
우미이노스빌아파트,36.9602,127.0587
팽성초교입구,36.95205,127.0530667
대사리입구,36.94455,127.05305
우미이노스빌아파트,36.9602667,127.0584833
송화주공아파트,36.9618833,127.0585333
객사리,36.9648,127.06585
추팔공단입구,36.9633167,127.07005
추팔공단슈퍼,36.9609667,127.0736167
추팔공단,36.9541167,127.0794333
추팔공단,36.95395,127.07925
추팔공단슈퍼,36.9603167,127.0735167
자비사앞,36.9648833,127.0675833
공군아파트,36.9677333,127.0673667
팽성미곡종합처리장,36.9704667,127.0703833
평궁리,36.9762833,127.0767
신궁리,36.9813167,127.0787167
신궁리,36.9812,127.07895
평궁리,36.9761833,127.0769667
팽성미곡종합처리장,36.9702,127.0703667
공군아파트,36.9679,127.0676
평택보건소앞,36.9905,127.1110333
시청서문앞,36.9919333,127.1114833
경남아너스빌아파트.명진비전파크,36.9959833,127.1097833
광덕초교,36.9432167,126.9436333
대안1리,36.9390167,126.9424167
대안1리,36.939,126.9424833
사랑말,36.9361,126.9400667
사랑말,36.9361,126.9401
구진종점,36.9318667,126.9419333
평택역2번출구,36.9904667,127.0836667
평택역2번출구,36.9906333,127.0837833
대안2리,36.93955,126.9481167
대안2리,36.9396167,126.9482
사랑현,36.9384667,126.9507667
사랑현,36.9384667,126.9508833
신왕1리,36.9367333,126.9661667
광덕(종점),36.9374833,126.9683833
덕목보건진료소,36.9522833,126.9512333
덕목보건진료소,36.9522667,126.9517167
백석입구,36.9628333,126.94985
백석입구,36.9628,126.9499667
고덕LH12단지,37.03555,127.0265
덕목3리,36.951,126.9556167
덕목3리,36.9511333,126.9556667
덕목5리,36.9509,126.9606167
덕목5리,36.9509667,126.9607667
심복사입구,36.9467333,126.9643833
심복사입구,36.9467833,126.9645167
신왕1리(아주),36.9357,126.9625
정림입구,37.13625,127.0356333
고잔4리,37.05545,126.8923833
광덕종점,36.9373833,126.96835
현덕초등학교.이안평택안중역아파트,36.9650833,126.9209667
현덕초등학교.이안평택안중역아파트,36.965,126.9209
대광로제비앙(중),37.0350333,127.0335
노랑바위,36.9184833,126.91725
삼정리입구,36.9732833,126.9430167
지제초등학교,37.0220167,127.0759
가사초교앞,36.9378333,126.9182667
기산리입구,36.9294333,126.92665
기산리입구,36.92945,126.9267333
도대리,36.946,126.9093833
장수리,36.94595,126.9093833
장수리마을회관,36.9397833,126.9013833
반도아파트,36.9796,126.8803833
방림1리,36.9756833,126.8843833
방림1리,36.9757,126.8844333
방림2리,36.9722167,126.8844
방림2리,36.9720833,126.8845167
방림3리,36.9689667,126.88585
방림4리입구,36.96535,126.8887167
방림4리,36.9653167,126.8885167
방축2리,36.9586667,126.8876167
방축2리입구,36.9585667,126.8875167
신영삼거리,36.9559,126.8860167
신영삼거리,36.9556667,126.8860667
신영2리입구,36.95025,126.8885667
아랫머드내.신동아자동차학원,37.1264167,127.0069333
신영2리마을회관,36.9471667,126.89135
항만주유소,36.9448833,126.8751
아프리카앞,36.9485333,126.87195
길송횟집앞,36.949,126.87385
신영3리,36.9529667,126.88765
희곡2.3리입구,36.9733667,126.8729833
성해2리,36.9925333,126.9040833
아랫머드내.신동아자동차학원,37.1266,127.0071
석정6리(용소),37.0017833,126.8967
석정6리,37.0038667,126.8971
석정5리,37.0061833,126.8925833
홍원1리,37.0079667,126.8928667
홍원초교,37.0118167,126.8877833
마장,37.0141667,126.8796167
홍원4지구(종점),37.0217333,126.8751833
홍원교회,37.0157167,126.8762833
홍원교회,37.01565,126.8762667
여염근린공원,37.0281167,127.0542833
고덕LH17단지,37.0364667,127.0467833
홍원3리,37.01665,126.86785
홍원5리,37.01265,126.8672167
홍원2지구,37.01255,126.8651
홍원2지구,37.0125,126.8651
홍원1지구(종점),37.0129833,126.8559667
양교4리,37.0224167,126.9677
양교4리,37.0224,126.9675167
용죽근린공원,36.9960667,127.1248
양교4리,37.0214667,126.9700667
죽1리,37.0124333,126.9695833
죽4리,37.0093333,126.9670833
숙성2리,37.0019667,126.9784333
숙성3리,36.9953833,126.9761167
길음1리입구,36.9911333,126.9687
길음1리,36.9935833,126.9653833
양교3리,37.0201833,126.9751667
대안3리,36.9339833,126.9552
토진3리.국길,37.0311667,126.9655333
서희스타힐스,37.0854833,127.0554167
고덕수변공원,37.0463333,127.04695
베스트빌리지,36.9716667,127.0406833
신동아파밀리에.자연앤자이,37.04985,127.0469333
구룡마을입구,37.0048333,127.13825
서희스타힐스,37.0851833,127.0555667
삼성전자평택캠퍼스,37.0358167,127.0523
서정리역(마을),37.057,127.05405
울성리,37.0115333,127.0608167
울성리저수지,37.0166,127.0604833
여염근린공원,37.0278833,127.0539
지제교차로,37.0202167,127.05815
원정삼거리,36.9725333,127.0409167
목천고가입구,37.0871333,127.05535
마산3리,37.0919333,127.0931
지산모터스,37.0763833,127.0853167
은산5리,37.09665,127.1168333
하북차고지,37.1035167,127.0643167
장등2리,37.0728167,127.0220833
k-55후문사거리,37.0749667,127.0432
청룡동,37.0219333,127.1256
종덕초등학교,37.0533333,127.04695
고덕수변공원,37.0467833,127.0471667
오리곡,37.0871,127.0781667
하북삼거리,37.1094,127.0643167
은산리,37.0786667,127.12215
은산1리,37.0787167,127.1222333
진위고등학교,37.1085667,127.0687167
고덕동행정복지센터,37.0427833,127.0504833
센트럴자이1단지,37.0164167,127.1000833
대안3리,36.9341,126.9552333
광덕초교,36.94315,126.9435333
신왕1리(마주),36.9347167,126.9623333
당거2리,36.99285,126.9819833
당거2리,36.99305,126.9822333
수정리,36.9962333,126.99135
교포3리,36.9927333,126.9975333
유엔빌리지,36.9662833,127.04145
유엔빌리지,36.9660833,127.0416167
한보연립,36.96405,127.0414167
창내2리,36.9894333,127.0216667
기산리마을회관,36.9308667,126.9288
방축1리,36.9521167,126.9065167
안정3리사거리,36.9613,127.0418833
창내리입구,37.0145,127.0052
고덕119안전센터,37.04535,127.0220667
고덕LH2단지,37.0585833,127.0445
고덕르플로랑아파트,37.0570833,127.0439167
지제마을입구,37.02425,127.0618167
고덕119안전센터,37.04535,127.02165
평택공설운동장,36.9865167,127.1026833
청담고등학교,36.9640333,127.0627167
외국인임대주택단지,36.9425833,126.9953667
노양1리,36.9380667,126.9991
한성아파트사거리,37.0010833,127.0981833
동창리입구,36.97345,127.0360167
본정1리마을회관,36.9461833,127.0065333
배다리초중통합학교,37.004,127.1212
배다리초중통합학교,37.0042333,127.1213167
본정삼거리,36.9496333,127.01455
양교3리,37.0203,126.9749
한라파인힐,36.9969833,126.8986333
자오,37.0182667,126.8694167
안중재래시장입구,36.9881833,126.9274333
모아아파트,36.9907833,126.8491167
해군기지,36.99455,126.83465
지산모터스,37.0762,127.08525
객사리입구,36.9645333,127.0676
노와4리,36.95095,127.0803167
포승중앙교회입구,36.99385,126.9009667
한라파인힐,36.9969667,126.89855
새말입구,37.02825,127.1013333
신촌,37.0256333,127.1115833
토진1리,37.0350167,126.95885
청북중학교,37.0414833,126.9464667
후사1리,37.0244167,126.9431
서재자이아파트.평택법원(중),37.0124,127.1024
청북중학교,37.0413333,126.9463667
효성1단지후문,36.9891333,127.1259
세교중학교,37.0137167,127.0897167
고덕센트레빌(중),37.0632333,127.0506833
고덕산업단지입구(중),37.0403833,127.0471167
노와2리입구,36.9483167,127.0855667
도곡초교,36.9891667,126.8471667
안중초교앞,36.98865,126.92765
원정리,37.0063667,126.8009333
원정8리,37.00585,126.8027333
안중시장입구.안중농협,36.9888,126.9292833
동한당약국,36.9875667,126.9247
원정리,37.0064,126.8011167
이곡마을6단지,37.0075333,127.1066
소사벌리더스하임,37.0056,127.1050167
명법사.남부복지타운,36.998,127.1017333
석정2리(신기),36.9828,126.8806667
세교지구,37.0059333,127.0895
제일풍경채3차(중),37.0370333,127.0281833
쌍용주택,36.9998,126.8385
원정변전소사거리,36.9930167,126.8394333
도곡초교,36.989,126.8472333
비전고등학교,37.0007833,127.10435
와룡리입구,36.95565,127.0958333
리더스하임후문,37.0045333,127.1045667
해군아파트,36.9939167,126.8324333
유천2리,36.9768,127.1118
유천2리,36.97655,127.1112
유천1리,36.9769333,127.1152333
노와4리,36.9509833,127.08035
비전중학교,37.0073333,127.1011833
비전중학교,37.0074167,127.1014
코오롱하늘채아파트남문,37.0578667,127.0803333
드림테크산단입구,37.0543833,126.9828833
미주오토텔앞,36.9870833,126.8431
제일장례식장,37.0898,127.0672833
신대2리,36.9449833,126.999
신안인스빌앞,37.0567667,127.04345
하북차고지,37.1033667,127.0643167
모아아파트,36.9907833,126.8493333
삼덕초등학교,37.0392333,126.9115167
만호리입구,36.963,126.8565
한라아파트,36.96275,126.85095
평택지방해양수산청,36.9619833,126.8458667
해창교,37.0189833,127.0220833
삼부르네상스아파트,36.9896667,126.8523
만호5리,36.96255,126.849
고덕아너스(중),37.04625,127.0219
월곡동해돋이어린이집,37.0230667,127.1314167
고덕어울림스퀘어정문,37.0448333,127.04515
세희아트빌라,36.9640167,127.0416333
합정초등학교,36.9879333,127.09865
삼부르네상스아파트,36.98975,126.85255
동우화인켐.삼성도장,36.9831,126.8456333
후사1리,37.0233833,126.9367833
동우화인캠서문앞,36.9799167,126.8396167
기업은행앞,36.9748333,126.8431667
지식산업센터,37.0433667,127.0565167
서재초교,37.0173833,127.1045
서재초교,37.0175,127.1043333
신평동주민센터,36.98925,127.0935833
용이동차고지,37.0035,127.1393333
K2볼링장,37.0100167,127.0729167
칠괴동우림아파트,37.0257833,127.0835667
합정초교앞,36.9882833,127.0986
힐스테이트지제역,37.0217,127.0813
창내3리,36.9940833,127.0112333
동아동백아파트후문,36.9989333,127.10865
포승모아아파트,36.9865667,126.8485333
대명금속,36.97005,126.8547667
유성티엔에스,36.9662667,126.8493333
평택항만물류창고,36.96545,126.84845
평택항.국제여객터미널,36.9588333,126.8468167
지제역더샵센트럴시티,37.02095,127.0741333
지제역더샵센트럴시티,37.0215667,127.0744167
영신지구,37.02145,127.0853
동우화인켐.삼성도장,36.9829167,126.84595
미서엔에이티,36.9864333,126.84895
기남방송,37.00605,127.1357833
안중오거리,36.9884167,126.93205
안중읍행정복지센터.경기물류고등학교,36.9854667,126.9303167
삼익아파트앞,36.9824333,126.9283667
동신2차아파트,36.9793333,126.9260333
동신3차아파트,36.9789667,126.9237833
현화고교사거리,36.9797333,126.9214167
기남방송앞,37.0061333,127.1358
죽백동차고지,37.0097667,127.1356833
죽백동차고지,37.0096667,127.1357
연화동입구,36.9557,126.9638
덕목5리,36.9535167,126.9711833
행정복지타운,37.04565,127.0434167
안정1리길마재입구,36.9594667,127.0471167
평택센트럴자이3단지,37.0196167,127.101
평택센트럴자이4단지,37.01955,127.1012667
칠괴공원,37.0324833,127.0871
칠괴공원,37.0323833,127.08695
광동제약,37.0356,127.0831333
평택센트럴자이5단지,37.0208667,127.1031667
궁2리,37.0182,127.0298
고덕하늘채시그니처,37.0195833,127.0348833
궁2리,37.0182667,127.0297167
SK아파트,36.9891,127.1222
SK아파트,36.9885333,127.1220333
