어린이집명,주소,위도,경도
좋은씨앗어린이집,경기도 평택시 이충로35번길 19 정암마을뜨란채 관리동,37.0585534,127.0673729
풍경채열린어린이집,경기도 평택시 송탄로 27 제일풍경채장당센트럴아파트 관리동,37.0476054,127.0556361
현동빅스맘어린이집,"경기도 평택시 이충로 93-20 303동 107호(이충동, 부영아파트)",37.0616438,127.0660360
송탄리라어린이집,경기도 평택시 지산1로24번길 32 (지산동),37.0766362,127.0595465
해솔어린이집,경기도 평택시 지산2로 50 건영아파트 단지내 해솔어린이집,37.0765896,127.0637001
서희곰돌이어린이집,경기도 평택시 목천로 65-15 108동 102호(서희스타힐스아파트),37.0862603,127.0549455
꼬마천사어린이집,경기도 평택시 참이슬길 13 참이슬아파트 관리동1층,36.9900233,127.1186129
아이사랑어린이집,경기도 평택시 조개터로6번길 41-5,36.9873674,127.1032880
반도가람어린이집,"경기도 평택시 비전2로 297 죽백동, 소사벌 반도유보라 1단지",37.0084575,127.1135559
소사벌어린이집,"경기도 평택시 경기대로 508 관리동(비전동, 휴먼시아2단지아파트)",37.0048929,127.0967564
에코아이어린이집,"경기도 평택시 비전3로 115 관리동어린이집(죽백동, 중흥S클래스아파트)",37.0082075,127.1096820
예그리나어린이집,경기도 평택시 평택5로 271 롯데캐슬아파트 관리동 (비전동),36.9989184,127.0954029
우미린꿈의 어린이집,경기도 평택시 비전3로 76 우미린 센트럴파크 관리동 어린이집,37.0051052,127.1100343
햇님어린이집,경기도 평택시 중앙1로 81-1,36.9971245,127.0919734
효성반디어린이집,"경기도 평택시 평남로 865 관리동(비전동, 효성백년가약아파트)",37.0003373,127.1084917
기쁜사랑어린이집,"경기도 평택시 비전2로 70 313동 101호(비전동,엘에이치이곡마을3단지)",37.0032323,127.0978509
라니어린이집,경기도 평택시 비전2로 320 501동 101호,37.0103173,127.1136748
별초롱어린이집,"경기도 평택시 비전3로 76 107-101 (비전동, 우미린센트럴파크아파트)",37.0051052,127.1100343
아이린어린이집,경기도 평택시 비전2로 317 반도유보라아이파크 203-104,37.0101740,127.1113449
시립더샵센트럴자람어린이집,경기도 평택시 지제동삭1로 163 관리동,37.0216886,127.0898780
시립센트럴자이2단지어린이집,경기도 평택시 상서재로4길 13,37.0169427,127.1024251
시립센트럴자이3단지어린이집,경기도 평택시 상서재로 55 센트럴자이3단지아파트 관리동,37.0214999,127.1006734
더샵어린이집,경기도 평택시 지제동삭1로 163,37.0216886,127.0898780
삼육라이튼어린이집,"경기도 평택시 상서재로 55 관리동 (동삭동, 평택센트럴자이 3단지)",37.0214999,127.1006734
자이로얄키즈어린이집,"경기도 평택시 서재로 36 관리동(동삭동,서재자이아파트)",37.0111800,127.1016906
참이슬어린이집,"경기도 평택시 참이슬길 13 110동 104호(합정동, 참이슬아파트)",36.9900233,127.1186129
시립안중어린이집,경기도 평택시 안중읍 안현로서1길 59,36.9921218,126.9296181
꽃마리어린이집,경기도 평택시 안중읍 한촌길 112,36.9864760,126.9132722
효성잼잼어린이집,"경기도 평택시 평남로 865 108동 103호(비전동, 효성백년가약",37.0003373,127.1084917
시립에듀포레어린이집,경기도 평택시 용죽2로 30,36.9929176,127.1224451
시립효성해링턴1단지어린이집,경기도 평택시 소사3로 53 효성해링턴플레이스1단지 관리동,36.9904016,127.1252884
맑고향기로운연꽃동산어린이집,경기도 평택시 평택5로 203-5,36.9968055,127.1011347
고운아이어린이집,경기도 평택시 평남로 671 경남아너스빌 관리동 건물,36.9938858,127.1099699
또래모아어린이집,경기도 평택시 어인남로26번길 1 (비전동),36.9952040,127.0989732
비전아이뜰어린이집,"경기도 평택시 용죽2로 24 관리동어린이집(용이동, 평택비전센트럴푸르지오2차아파트)",36.9941941,127.1217238
아이파크어린이집,"경기도 평택시 용죽1로 65 104동 1층 관리동(용이동, 비전아이파크)",36.9989814,127.1251059
꿈그린몬테소리어린이집,경기도 평택시 안중읍 안현로서9길 164-9 건영캐스빌 관리동 1층,36.9879068,126.9181486
아이러브어린이집,경기도 평택시 안중읍 송담1로 55 지엔하임2차 아파트 관리동,36.9756891,126.9279402
우주어린이집,경기도 평택시 안중읍 행궁길 79-6,36.9795218,126.9147099
자연숲어린이집,경기도 평택시 안중읍 대반1길 21-21,36.9935047,126.9511561
중앙어린이집,경기도 평택시 서동대로 1832-23 안중우림아파트 관리동,36.9934581,126.9524814
지혜의숲어린이집,경기도 평택시 안중읍 안현로서7길 46 주공2차 주민복지관,36.9822869,126.9225986
힐스아이어린이집,경기도 평택시 안중읍 송담1로 65 힐스테이트 104동 1층,36.9770632,126.9286049
맑은샘 어린이집,경기도 평택시 안중읍 송담1로 85 지엔하임1차아파트103-101,36.9785586,126.9294733
우림어린이집,경기도 평택시 안중읍 안현로서9길 164-20 우림아파트 107동 102호,36.9856430,126.9180000
주주어린이집,경기도 평택시 안중읍 안현로서6길 111 현대2차302-105,36.9840289,126.9164238
하선어린이집,경기도 평택시 안중읍 안현로서7길 9  동신2차아파트 201동104호,36.9806674,126.9253610
시립오성어린이집,경기도 평택시 오성면 숙성1길 4-6,37.0093949,126.9857524
시립이편한세상평택용이1단지어린이집,경기도 평택시 신흥1로 67,37.0020299,127.1438265
금호온누리어린이집,"경기도 평택시 현촌1로 8 관리동 (용이동, 평택용이금호어울림2단지)",36.9985438,127.1296283
드림어린이집,경기도 평택시 비전3로 115 102동105호 (중흥S클래스아파트),37.0082075,127.1096820
푸르지오키즈어린이집,경기도 평택시 용죽1로 14 평택비젼푸르지오 1차 관리동 어린이집,36.9958323,127.1210455
아이자람어린이집,경기도 평택시 청북읍 청북남로 278 부영3차 304-104,37.0195353,126.9135711
튼튼이어린이집,경기도 평택시 청북읍 청북남로 277 부영2차 아파트 216동 102호,37.0176949,126.9137625
해아뜰어린이집,경기도 평택시 청북읍 안청로1길 12 부영1차아파트 116동 103호,37.0160539,126.9143937
텔스타 어린이집,경기도 평택시 청북읍 현곡산단로93번길 89,37.0390841,126.9444288
시립안정어린이집,경기도 평택시 팽성읍 안정순환로186번길 4 시립안정어린이집,36.9630453,127.0443226
대원좋은친구들어린이집,경기도 평택시 팽성읍 부용로 36,36.9636500,127.0601166
서화어린이집,경기도 평택시 팽성읍 추팔산단로 23,36.9629942,127.0714525
우미어린이집,경기도 평택시 팽성읍 팽성송화로 154 관리동,36.9600337,127.0599393
키즈랜드어린이집,경기도 평택시 팽성읍 송화2길 36,36.9512341,127.0493867
동화나라어린이집,경기도 평택시 지산3로 65-11,37.0806029,127.0630581
예닮키즈 빅스맘 어린이집,경기도 평택시 지산천로 34-12,37.0828602,127.0637731
축복어린이집,경기도 평택시 지산로175번길 4-10,37.0807953,127.0754564
토리어린이집,경기도 평택시 오좌동길 55,37.0850741,127.0659885
예닮 빅스맘 어린이집,경기도 평택시 지산천로 34-12,37.0828602,127.0637731
코아루자람어린이집,"경기도 평택시 지산로 137 102-102호 (지산동, 지산코아루 아파트)",37.0819360,127.0689590
시립굿모닝힐맘시티1단지어린이집,경기도 평택시 신촌1로 9 동문굿모닝힐맘시티1단지내,37.0264779,127.1020339
스위첸베베 어린이집,"경기도 평택시 지산로 128 108동 103호(지산동, KCC스위첸아파트)",37.0799734,127.0685031
즐거운어린이집,"경기도 평택시 송탄공원로 145 101동 103호(지산동, 미주2차아파트)",37.0792134,127.0643482
시립가곡어린이집,경기도 평택시 진위면 가곡길 98,37.1179212,127.0744648
연꽃어린이집,경기도 평택시 진위면 진위서로 74-12,37.1074602,127.0701177
LG전자 평택어린이집,경기도 평택시 진위면 엘지로 222 LG전자기숙사 백합동 1층,37.1290327,127.0916202
시립행복다온어린이집,경기도 평택시 청북읍 안청로1길 21 청북LHB12단지 102동 1층,37.0147188,126.9141270
솔가람어린이집,경기도 평택시 청북읍 옥길1길 295,37.0243395,126.9082289
창의어린이집,경기도 평택시 청북읍 옥길1길 156-1,37.0267996,126.9112079
청북숲어린이집,경기도 평택시 청북읍 옥길1길 192,37.0239913,126.9111913
초록샘어린이집,경기도 평택시 청북읍 옥길1길 244,37.0238991,126.9062769
아이뜰어린이집,경기도 평택시 잔다리1길 29 (세교동),37.0056746,127.0802073
시립굿모닝힐맘시티3단지어린이집,경기도 평택시 신촌5로 20 관리동,37.0250825,127.1009634
시립굿모닝힐맘시티4단지어린이집,경기도 평택시 신촌5로 56 평택지제역동문굿모닝힐맘시티4단지,37.0247839,127.1073760
시립송탄공단어린이집,경기도 평택시 산단로15번길 7 (모곡동),37.0374879,127.0717484
우림천사어린이집,경기도 평택시 막곡길 11 우림필유아파트 관리동 (가재동),37.0403656,127.0838843
장안어린이집,경기도 평택시 추담로 56-38,37.0562838,127.0773887
현진어린이집,경기도 평택시 원칠원길 56 동광아파트 1층 관리동,37.0322944,127.1023529
동문베베어린이집,경기도 평택시 신촌1로 9 동문굿모닝힐맘시티 105동 104호,37.0264779,127.1020339
예빛아이어린이집,"경기도 평택시 추담로 58-78 1022동 101호 (장안동, 코오롱하늘채)",37.0590566,127.0790469
하늘빛어린이집,"경기도 평택시 막곡길 11 104동 102호(가재동, 우림필유)",37.0403656,127.0838843
햇살맘 어린이집,경기도 평택시 추담로 58-78 장안마을코오롱하늘채 1003동 103호,37.0590566,127.0790469
