이름,주소,위도,경도
리더스에듀학원,경기도 평택시 현촌4길 2-32,37.0001275,127.1335480
리드앤톡영어학원,경기도 평택시 용죽2로 32-21,36.9926649,127.1244006
리드인독서논술교습소,경기도 평택시 현촌3길 21,37.0016692,127.1307448
리드인독서논술용죽점학원,경기도 평택시 용죽3로 12,36.9929692,127.1258439
리드인독서논술종덕점학원,경기도 평택시 고덕갈평6길 29,37.0573027,127.0474399
리드인독서논술지제동삭점학원,경기도 평택시 지제동삭1로 201-25,37.0169989,127.0895134
리드인독서율포초점학원,경기도 평택시 함박산3길 3,37.0411642,127.0398949
리드인비전독서논술교습소,경기도 평택시 비전3로 30,37.0025227,127.1054337
리드인학원,경기도 평택시 세교8길 30,37.0090505,127.0907222
리디안실용음악학원,경기도 평택시 고덕중앙2로 41,37.0451761,127.0407386
리딩오션독서논술교습소,경기도 평택시 고덕갈평5길 32,37.0565574,127.0474102
리베음악학원,경기도 평택시 상서재로 55,37.0214999,127.1006734
리베창의사고력수학교습소,경기도 평택시 청북읍 안청로4길 49-29,37.0244186,126.9211339
리브로아르츠미술교습소,경기도 평택시 만세로 1842,37.0048263,127.1032686
리움피아노음악교습소,경기도 평택시 지제동삭2로 177,37.0184747,127.0926406
리즈릿지학원,경기도 평택시 평택4로 104,36.9968621,127.1029940
리즈음악학원,경기도 평택시 경기대로 1188,37.0520907,127.0613687
리트음악학원,경기도 평택시 함박산8길 31,37.0385834,127.0315337
리틀아마데우스피아노교습소,경기도 평택시 이충로 93-20,37.0616438,127.0660360
리틀오르세미술학원,경기도 평택시 송탄2로 48-6,37.0722704,127.0594364
리틀창조의아침미술학원,경기도 평택시 현신7길 29,36.9992957,127.1477939
리틀팍스동삭센터어학원,경기도 평택시 동삭1로22번길 19-2,37.0207991,127.0943970
리틀포레스트미술학원,경기도 평택시 신흥1로1길 22,37.0015646,127.1459677
리틀포렛미술교습소,경기도 평택시 동삭1로22번길 19-17,37.0206347,127.0930221
리하트미술교습소,경기도 평택시 추담로 58-78,37.0590566,127.0790469
린발레에듀학원,경기도 평택시 고덕로3길 25,37.0378284,127.0258718
린발레학원,경기도 평택시 고덕중앙로 200-4,37.0477733,127.0442098
린음악학원,경기도 평택시 용죽3로 17,36.9933045,127.1251615
링컨영어교습소,경기도 평택시 송탄로40번길 79-15,37.0518335,127.0573545
링키영어고덕신도시파라곤에듀포레영어교습소,경기도 평택시 고덕국제8로 91,37.0410779,127.0249588
링키영어고덕파라곤점영어교습소,경기도 평택시 고덕국제대로 180,37.0543140,127.0452164
링키영어고덕하늘채점영어교습소,경기도 평택시 고덕면 효덕새싹길 55,37.0202239,127.0345531
링키영어평택고덕직영학원,경기도 평택시 함박산8길 31,37.0385834,127.0315337
마르실용음악학원,경기도 평택시 정암로54번길 74,37.0547308,127.0567949
마스터수학교습소,경기도 평택시 지산2로 45,37.0761377,127.0631848
마음을그리는미술교습소,경기도 평택시 지제동삭1로 163,37.0216886,127.0898780
마이쌤평택고덕점음악학원,경기도 평택시 함박산8길 29,37.0383594,127.0312163
마이티애견미용평택점학원,경기도 평택시 평택로 38-1,36.9910849,127.0879434
마인드맵교육학원,경기도 평택시 용죽2로 32-21,36.9926649,127.1244006
말과글독서논술국어학원,경기도 평택시 청원로 1200,37.0520272,127.0562925
말랑하트아트스튜디오학원,경기도 평택시 고덕국제7로 117,37.0351969,127.0297614
말하는국어교습소,경기도 평택시 평택5로 134,36.9976368,127.1085409
