iter	Passed	Remaining
695	1137	496
696	1139	495
697	1140	493
698	1142	492
699	1144	490
700	1146	489
701	1148	487
702	1150	486
703	1152	484
704	1154	483
705	1156	481
706	1158	480
707	1160	478
708	1162	477
709	1164	475
710	1166	473
711	1168	472
712	1169	470
713	1171	469
714	1173	467
715	1175	466
716	1177	464
717	1179	463
718	1180	461
719	1182	460
720	1184	458
721	1186	457
722	1188	455
723	1190	453
724	1192	452
725	1194	450
726	1196	449
727	1198	447
728	1200	446
729	1202	444
730	1204	443
731	1206	441
732	1208	440
733	1210	438
734	1212	437
735	1214	435
736	1216	433
737	1218	432
738	1220	430
739	1221	429
740	1223	427
741	1225	426
742	1227	424
743	1229	423
744	1231	421
745	1234	420
746	1235	418
747	1238	417
748	1240	415
749	1241	413
750	1243	412
751	1245	410
752	1247	409
753	1249	407
754	1251	405
755	1252	404
756	1254	402
757	1256	401
758	1258	399
759	1260	398
760	1262	396
761	1264	394
762	1266	393
763	1268	391
764	1270	390
765	1272	388
766	1274	387
767	1276	385
768	1278	384
769	1280	382
770	1282	380
771	1284	379
772	1286	377
773	1288	376
774	1290	374
775	1292	373
776	1294	371
777	1296	369
778	1298	368
779	1300	366
780	1302	365
781	1304	363
782	1305	361
783	1307	360
784	1309	358
785	1311	357
786	1313	355
787	1315	353
788	1317	352
789	1318	350
790	1320	348
791	1322	347
792	1324	345
793	1326	344
794	1328	342
795	1330	340
796	1331	339
797	1333	337
798	1335	335
799	1337	334
800	1339	332
801	1340	331
802	1342	329
803	1344	327
804	1346	326
805	1348	324
806	1350	322
807	1351	321
808	1353	319
809	1355	317
810	1357	316
811	1358	314
812	1360	312
813	1362	311
814	1364	309
815	1365	308
816	1368	306
817	1369	304
818	1371	303
819	1373	301
820	1375	299
821	1377	298
822	1379	296
823	1380	294
824	1382	293
825	1384	291
826	1386	289
827	1388	288
828	1390	286
829	1391	285
830	1393	283
831	1395	281
832	1397	280
833	1398	278
834	1400	276
835	1402	275
836	1404	273
837	1406	271
838	1407	270
839	1409	268
840	1410	266
841	1412	265
842	1413	263
843	1415	261
844	1417	259
845	1418	258
846	1420	256
847	1421	254
848	1423	253
849	1425	251
850	1426	249
851	1428	248
852	1429	246
853	1431	244
854	1432	242
855	1434	241
856	1435	239
857	1437	237
858	1438	236
859	1440	234
860	1441	232
861	1443	231
862	1444	229
863	1446	227
864	1447	225
865	1449	224
866	1450	222
867	1451	220
868	1453	219
869	1455	217
870	1457	215
871	1458	214
872	1460	212
873	1462	210
874	1464	209
875	1466	207
876	1467	205
877	1469	204
878	1471	202
879	1473	200
880	1475	199
881	1477	197
882	1479	195
883	1480	194
884	1482	192
885	1484	191
886	1486	189
887	1488	187
888	1489	186
889	1492	184
890	1493	182
891	1496	181
892	1498	179
893	1500	177
894	1501	176
895	1504	174
896	1505	172
897	1507	171
898	1509	169
899	1510	167
900	1512	166
901	1513	164
902	1515	162
903	1516	161
904	1518	159
905	1520	157
906	1521	156
907	1523	154
908	1524	152
909	1526	150
910	1527	149
911	1529	147
912	1530	145
913	1532	144
914	1534	142
915	1535	140
916	1537	139
917	1538	137
918	1540	135
919	1542	134
920	1543	132
921	1545	130
922	1546	129
923	1548	127
924	1549	125
925	1551	123
926	1553	122
927	1554	120
928	1556	118
929	1557	117
930	1559	115
931	1560	113
932	1562	112
933	1564	110
934	1566	108
935	1568	107
936	1569	105
937	1571	103
938	1573	102
939	1575	100
940	1577	98
941	1579	97
942	1581	95
943	1583	93
944	1584	92
945	1586	90
946	1589	88
947	1590	87
948	1592	85
949	1594	83
950	1596	82
951	1598	80
952	1600	78
953	1601	77
954	1603	75
955	1605	73
956	1607	72
957	1609	70
958	1610	68
959	1612	67
960	1613	65
961	1615	63
962	1616	62
963	1618	60
964	1619	58
965	1621	57
966	1622	55
967	1624	53
968	1625	52
969	1627	50
970	1629	48
971	1630	46
972	1631	45
973	1633	43
974	1634	41
975	1636	40
976	1638	38
977	1639	36
978	1641	35
979	1642	33
980	1644	31
981	1645	30
982	1647	28
983	1649	26
984	1651	25
985	1653	23
986	1655	21
987	1657	20
988	1658	18
989	1660	16
990	1662	15
991	1664	13
992	1666	11
993	1668	10
994	1669	8
995	1671	6
996	1672	5
997	1674	3
998	1675	1
999	1677	0
