단지명,주소,층,계약년월,전용면적(㎡),건축년도,거래금액(만원),위도,경도
한승아파트,경기도 평택시 진위면 견산리 27-15,3,202408,34.4,2000,"8,800",37.1078327,127.0796372
신영평택비전지웰푸르지오,경기도 평택시 용이동 644,8,202408,84.8005,2019,"58,000",36.9974208,127.1225145
평택군문1단지주공,경기도 평택시 군문동 370,11,202408,49.43,1999,"17,900",36.9866824,127.0816065
아주,경기도 평택시 지산동 1135,7,202408,56.825,1994,"15,300",37.0777211,127.0650625
유승한내들퍼스트뷰,경기도 평택시 청북읍 옥길리 1153,9,202408,84.9827,2015,"26,500",37.0233189,126.9247180
포승삼부르네상스2단지,경기도 평택시 포승읍 도곡리 1109,5,202408,84.9978,2005,"21,500",36.9908678,126.8474842
부영1,경기도 평택시 세교동 555,6,202408,59.94,1996,"19,200",37.0031914,127.0858386
SK비전,경기도 평택시 비전동 856-1,5,202408,84.917,2003,"26,600",36.9906405,127.1105189
평택센트럴해링턴플레이스,경기도 평택시 비전동 1089,15,202408,84.9833,2012,"34,000",37.0004280,127.1081602
평택소사벌반도유보라아이비파크,경기도 평택시 죽백동 720,24,202408,84.6605,2016,"37,000",37.0102463,127.1111016
LIG아파트,경기도 평택시 이충동 591-2,1,202408,84.93,1997,"23,000",37.0638590,127.0685524
이충동부영3단지,경기도 평택시 이충동 594-2,8,202408,49.98,1996,"13,900",37.0613960,127.0661722
삼익사이버,경기도 평택시 동삭동 343-2,16,202408,59.99,2000,"20,500",37.0218005,127.0963783
평택센트럴자이3단지,경기도 평택시 동삭동 852,9,202408,59.5152,2019,"37,000",37.0209526,127.1005266
호반써밋고덕국제신도시에듀파크,경기도 평택시 고덕동 2664-2,6,202408,84.2876,2022,"63,000",37.0368028,127.0307857
호반써밋고덕국제신도시에듀파크,경기도 평택시 고덕동 2664-2,19,202408,84.6911,2022,"59,500",37.0368028,127.0307857
정암마을뜨란채,경기도 평택시 이충동 674,5,202408,75.63,2006,"28,000",37.0587043,127.0673833
평택지제역동문굿모닝힐맘시티4단지,경기도 평택시 칠원동 595,17,202408,73.4148,2019,"33,700",37.0243447,127.1067737
평택소사벌푸르지오,경기도 평택시 비전동 970,9,202408,83.97,2019,"38,000",37.0081966,127.1023543
TheSKY(더스카이송탄),경기도 평택시 지산동 820-3,14,202408,65.08,2019,"26,000",37.0771541,127.0563073
서광미소마을,경기도 평택시 안중읍 현화리 841,19,202408,84.93,2005,"24,200",36.9806499,126.9224475
포승삼부르네상스1단지,경기도 평택시 포승읍 도곡리 1114,6,202408,59.9642,2005,"16,400",36.9889150,126.8513315
평택서정동롯데캐슬,경기도 평택시 서정동 1121,4,202408,118.31,2010,"42,300",37.0600235,127.0602776
평택용이2차푸르지오,경기도 평택시 용이동 470-1,12,202408,129.9693,2010,"48,000",36.9968729,127.1419398
평택비전에듀포레푸르지오,경기도 평택시 용이동 652,4,202408,73.4816,2018,"43,500",36.9927558,127.1225496
평택청북한양수자인,경기도 평택시 청북읍 옥길리 1150,5,202408,84.9653,2016,"28,000",37.0232655,126.9218229
고덕국제신도시파라곤에듀포레,경기도 평택시 고덕동 2489-1,7,202408,84.7996,2021,"56,000",37.0419544,127.0251227
평택효성해링턴플레이스1단지,경기도 평택시 소사동 670,17,202408,84.772,2019,"41,000",36.9903797,127.1254279
평택용이금호어울림1단지,경기도 평택시 용이동 581,14,202408,67.5496,2015,"29,500",37.0015751,127.1307921
평택센트럴해링턴플레이스,경기도 평택시 비전동 1089,10,202408,84.9803,2012,"38,700",37.0004280,127.1081602
고덕국제신도시제일풍경채,경기도 평택시 고덕동 1899-2,12,202408,99.42,2019,"75,000",37.0534802,127.0421109
문화,경기도 평택시 비전동 887,2,202408,49.86,1994,"13,700",36.9915288,127.1159132
벽산,경기도 평택시 비전동 889,2,202408,59.965,1994,"17,100",36.9917803,127.1197627
반도보라빌,경기도 평택시 포승읍 방림리 715,9,202408,84.96,2005,"17,700",36.9799985,126.8819615
힐스테이트 평택 1차,경기도 평택시 세교동 573,2,202408,84.87,2018,"42,000",37.0119561,127.0881501
송화지구우미이노스빌,경기도 평택시 팽성읍 송화리 788-1,3,202408,84.5344,2005,"20,700",36.9606600,127.0597574
평택지제역동문굿모닝힐맘시티2단지,경기도 평택시 칠원동 559,17,202408,84.9718,2019,"39,500",37.0267896,127.1062895
더샵지제역센트럴파크3BL,경기도 평택시 동삭동 941,1,202408,83.7111,2021,"45,500",37.0223463,127.0933108
평택뉴비전엘크루,경기도 평택시 합정동 가-,4,202408,74.834,2021,"33,800",,
더샵지제역센트럴파크2BL,경기도 평택시 동삭동 388-13,17,202408,59.6236,2020,"40,000",37.0162832,127.0927203
삼성,경기도 평택시 통복동 477,12,202408,84.87,1993,"21,000",36.9917077,127.0795831
태영청솔,경기도 평택시 세교동 554,11,202408,59.915,1996,"20,000",37.0046057,127.0832115
이충동부영1단지,경기도 평택시 이충동 589-5,2,202408,49.98,1996,"13,700",37.0626486,127.0656819
고덕국제신도시파라곤,경기도 평택시 고덕동 1904-2,23,202408,84.9981,2019,"69,000",37.0536942,127.0452835
서평택삼익마에스트로,경기도 평택시 포승읍 도곡리 1117-10,15,202408,23.31,2015,"4,500",36.9901109,126.8417616
평택스마트빌포레,경기도 평택시 포승읍 도곡리 1117-11,9,202408,24.09,2017,"6,500",36.9898862,126.8414122
평택스마트빌포레,경기도 평택시 포승읍 도곡리 1117-11,10,202408,24.09,2017,"6,800",36.9898862,126.8414122
평택뉴비전엘크루,경기도 평택시 합정동 가-,1,202408,74.834,2021,"30,700",,
경원,경기도 평택시 진위면 견산리 27-6,1,202408,50.85,1987,"9,200",37.1065637,127.0790320
고덕하늘채시그니처,경기도 평택시 고덕면 궁리 523,14,202408,84.7048,2021,"44,000",37.0201237,127.0345312
부영사랑으로2단지,경기도 평택시 청북읍 옥길리 1104,10,202408,59.9605,2011,"16,000",37.0177101,126.9134152
힐스테이트 평택2차,경기도 평택시 세교동 597,15,202408,73.42,2018,"41,000",37.0099774,127.0867318
평택용이금호어울림1단지,경기도 평택시 용이동 581,4,202408,84.9986,2015,"32,500",37.0015751,127.1307921
우림,경기도 평택시 안중읍 금곡리 337-3,5,202408,49.973,1999,"7,000",36.9933025,126.9524699
고덕시티,경기도 평택시 이충동 457-21,8,202408,21.28,2020,"10,000",37.0571390,127.0578927
고덕시티,경기도 평택시 이충동 457-21,8,202408,21.28,2020,"10,000",37.0571390,127.0578927
평택효성해링턴플레이스1단지,경기도 평택시 소사동 670,11,202408,72.656,2019,"35,000",36.9903797,127.1254279
평택지제역동문굿모닝힐맘시티2단지,경기도 평택시 칠원동 559,8,202408,74.766,2019,"33,500",37.0267896,127.1062895
평택지제역동문굿모닝힐맘시티4단지,경기도 평택시 칠원동 595,24,202408,84.9718,2019,"38,300",37.0243447,127.1067737
e편한세상평택,경기도 평택시 용이동 580,5,202408,84.8456,2015,"37,000",37.0006187,127.1286607
더샵지제역센트럴파크2BL,경기도 평택시 동삭동 388-13,18,202408,74.9744,2020,"50,000",37.0162832,127.0927203
