시군명,측정소명,설치년도,측정망명,측정일시각,아황산가스농도값(ppm),일산화탄소농도값(ppm),오존농도값(ppm),이산화질소농도값(ppm),미세먼지PM10농도값(μg/m³),미세먼지PM2.5농도값(μg/m³)
안양시,부림동,1998,도시대기,2023-09-20 08:00,0.003,0.4,0.016,0.025,40,29
안양시,안양8동,1993,도시대기,2023-09-20 08:00,0.002,0.4,0.024,0.02,32,21
안양시,안양2동,2004,도시대기,2023-09-20 08:00,0.002,0.4,0.036,0.015,15,7
안양시,호계동,1992,도시대기,2023-09-20 07:00,0.002,0.3,0.038,0.015,26,23
안양시,부림동,1998,도시대기,2023-09-20 07:00,0.003,0.4,0.022,0.018,38,24
안양시,안양8동,1993,도시대기,2023-09-20 07:00,0.002,0.4,0.023,0.018,33,23
안양시,안양2동,2004,도시대기,2023-09-20 07:00,0.002,0.4,0.032,0.016,13,8
안양시,안양2동,2004,도시대기,2023-09-20 06:00,0.002,0.4,0.018,0.013,36,12
안양시,호계동,1992,도시대기,2023-09-20 06:00,0.002,0.3,0.016,0.019,43,27
안양시,부림동,1998,도시대기,2023-09-20 06:00,0.003,0.4,0.016,0.014,42,29
안양시,안양8동,1993,도시대기,2023-09-20 06:00,0.002,0.4,0.02,0.015,43,23
안양시,안양2동,2004,도시대기,2023-09-20 05:00,0.002,0.4,0.011,0.012,39,14
안양시,호계동,1992,도시대기,2023-09-20 05:00,0.002,0.3,0.016,0.015,37,26
안양시,부림동,1998,도시대기,2023-09-20 05:00,0.003,0.4,0.016,0.014,39,28
안양시,안양8동,1993,도시대기,2023-09-20 05:00,0.002,0.4,0.02,0.012,32,24
안양시,호계동,1992,도시대기,2023-09-20 04:00,0.002,0.3,0.02,0.013,30,23
안양시,안양2동,2004,도시대기,2023-09-20 04:00,0.002,0.4,0.013,0.015,37,13
안양시,부림동,1998,도시대기,2023-09-20 04:00,0.003,0.3,0.018,0.012,32,25
안양시,안양8동,1993,도시대기,2023-09-20 04:00,0.002,0.4,0.026,0.01,36,21
안양시,호계동,1992,도시대기,2023-09-20 03:00,0.002,0.3,0.022,0.015,35,17
안양시,안양8동,1993,도시대기,2023-09-20 03:00,0.002,0.3,0.028,0.01,31,20
안양시,부림동,1998,도시대기,2023-09-20 03:00,0.003,0.3,0.023,0.011,36,25
안양시,안양2동,2004,도시대기,2023-09-20 03:00,0.002,0.4,0.013,0.013,39,10
안양시,안양2동,2004,도시대기,2023-09-20 02:00,0.003,0.4,0.025,0.012,41,13
안양시,안양8동,1993,도시대기,2023-09-20 02:00,0.002,0.3,0.029,0.011,26,18
안양시,호계동,1992,도시대기,2023-09-20 02:00,0.002,0.3,0.019,0.018,40,28
안양시,부림동,1998,도시대기,2023-09-20 02:00,0.003,0.3,0.02,0.014,36,27
안양시,안양8동,1993,도시대기,2023-09-20 01:00,0.002,0.3,0.035,0.009,12,12
안양시,부림동,1998,도시대기,2023-09-20 01:00,0.003,0.3,0.019,0.019,35,25
안양시,호계동,1992,도시대기,2023-09-20 01:00,0.003,0.3,0.016,0.02,32,18
안양시,안양2동,2004,도시대기,2023-09-20 01:00,0.002,0.4,0.025,0.015,36,9
안양시,호계동,1992,도시대기,2023-09-19 24:00,0.002,0.3,0.015,0.026,37,25
안양시,부림동,1998,도시대기,2023-09-19 24:00,0.003,0.3,0.03,0.014,37,21
안양시,안양8동,1993,도시대기,2023-09-19 24:00,0.002,0.3,0.044,0.008,23,16
안양시,안양2동,2004,도시대기,2023-09-19 24:00,0.002,0.3,0.03,0.011,30,11
안양시,호계동,1992,도시대기,2023-09-19 23:00,0.002,0.3,0.021,0.024,37,17
안양시,부림동,1998,도시대기,2023-09-19 23:00,0.003,0.3,0.03,0.014,31,23
안양시,안양8동,1993,도시대기,2023-09-19 23:00,0.002,0.3,0.046,0.007,26,14
안양시,안양2동,2004,도시대기,2023-09-19 23:00,0.003,0.4,0.025,0.012,35,15
안양시,안양8동,1993,도시대기,2023-09-19 22:00,0.002,0.3,0.048,0.008,23,16
안양시,부림동,1998,도시대기,2023-09-19 22:00,0.003,0.3,0.03,0.015,36,20
안양시,호계동,1992,도시대기,2023-09-19 22:00,0.002,0.3,0.034,0.016,36,18
안양시,안양2동,2004,도시대기,2023-09-19 22:00,0.002,0.4,0.025,0.017,29,13
안양시,안양8동,1993,도시대기,2023-09-19 20:00,0.002,0.3,0.049,0.011,27,14
안양시,부림동,1998,도시대기,2023-09-19 20:00,0.003,0.3,0.041,0.014,27,21
안양시,호계동,1992,도시대기,2023-09-19 20:00,0.002,0.3,0.039,0.019,32,17
안양시,안양2동,2004,도시대기,2023-09-19 20:00,0.003,0.3,0.043,0.013,33,22
안양시,부림동,1998,도시대기,2023-09-19 19:00,0.003,0.3,0.045,0.014,34,21
안양시,호계동,1992,도시대기,2023-09-19 19:00,0.002,0.3,0.046,0.018,35,15
안양시,안양2동,2004,도시대기,2023-09-19 19:00,0.003,0.3,0.045,0.016,42,24
안양시,안양8동,1993,도시대기,2023-09-19 19:00,0.002,0.3,0.054,0.01,25,13
안양시,부림동,1998,도시대기,2023-09-19 18:00,0.003,0.4,0.05,0.016,40,25
안양시,호계동,1992,도시대기,2023-09-19 18:00,0.003,0.4,0.048,0.022,43,25
안양시,안양2동,2004,도시대기,2023-09-19 18:00,0.003,0.4,0.051,0.012,34,26
안양시,안양8동,1993,도시대기,2023-09-19 18:00,0.002,0.4,0.058,0.01,37,20
안양시,안양8동,1993,도시대기,2023-09-19 17:00,0.002,0.4,0.063,0.01,36,18
안양시,부림동,1998,도시대기,2023-09-19 17:00,0.003,0.4,0.057,0.015,49,22
안양시,호계동,1992,도시대기,2023-09-19 17:00,0.003,0.4,0.051,0.025,50,23
안양시,안양2동,2004,도시대기,2023-09-19 17:00,0.004,0.4,0.061,0.012,37,23
안양시,안양8동,1993,도시대기,2023-09-19 16:00,0.002,0.4,0.073,0.01,45,26
안양시,부림동,1998,도시대기,2023-09-19 16:00,0.003,0.4,0.072,0.011,53,32
안양시,호계동,1992,도시대기,2023-09-19 16:00,0.003,0.4,0.063,0.022,47,29
안양시,안양2동,2004,도시대기,2023-09-19 16:00,0.003,0.4,0.074,0.014,49,11
안양시,호계동,1992,도시대기,2023-09-19 15:00,0.003,0.4,0.075,0.02,52,29
