이름,주소,위도,경도
장종덕한의원,"경기도 평택시 평택2로10번길 34, (평택동)",36.9919725,127.0892479
제너지한의원,"경기도 평택시 관광특구로 19, (서정동)",37.0672656,127.0609138
주현욱한의원,"경기도 평택시 서동대로 3867-1, 1층 (용이동, 평산빌딩)",36.9939354,127.1368583
중앙한의원,"경기도 평택시 중앙로 29, 1층 (통복동)",36.9953196,127.0863966
지산경희한의원,"경기도 평택시 지산로 76, (지산동)",37.0800012,127.0632081
지제한의원,"경기도 평택시 동삭1로22번길 19-21, 2층 203,204호 일부호 (동삭동)",37.0208985,127.0932609
참송한의원,"경기도 평택시 중앙로 4, 2층 (통복동)",36.9953100,127.0837113
참조은한의원,"경기도 평택시 통복시장로 15-5, 1층 (통복동)",36.9968452,127.0850238
천일당한의원,"경기도 평택시 밀월로15번길 88, (신장동)",37.0785278,127.0516074
청명한의원,"경기도 평택시 관광특구로 23, (서정동)",37.0671549,127.0614965
청북한의원,"경기도 평택시 청북읍 신포길 47, (청북읍)",37.0402067,126.9332527
초생달한의원,"경기도 평택시 서정북로 83, (서정동)",37.0711488,127.0586553
케이지모빌리티(주) 부속한의원,"경기도 평택시 동삭로 455-12, (칠괴동)",37.0282867,127.0952752
태양한의원,"경기도 평택시 진위면 경기대로 1838, (진위면)",37.1086914,127.0646234
팽성경희한의원,"경기도 평택시 팽성읍 부용로56번길 3, (팽성읍)",36.9648077,127.0616415
평택바른한의원,"경기도 평택시 세교공원로 33, 상가동 206호 (세교동, 부영원앙아파트)",37.0037316,127.0814549
평택사랑인한의원,"경기도 평택시 평남로 929, 우리타워 2층 209,210호 (비전동)",37.0037253,127.1052294
평택시민의료소비자생활협동조합 평택123한의원,"경기도 평택시 중앙로 110, 1층 (합정동)",36.9931095,127.0953083
평택왕한의원,"경기도 평택시 팽성읍 안정쇼핑로 41-1, 2층",36.9615132,127.0465456
평택참한의원,"경기도 평택시 중앙로 212, 1층 (합정동)",36.9907826,127.1063721
평택하늘애한의원,"경기도 평택시 고덕여염9길 42, 센트리마 더퍼스트1 2층 202호 (고덕동)",37.0408640,127.0519895
평택한의원,"경기도 평택시 원평2로28번길 27, (평택동)",36.9895481,127.0830086
필부취한의원,"경기도 평택시 중앙로 43, (비전동)",36.9948493,127.0881427
한진부부한의원,"경기도 평택시 중앙로 202, (합정동)",36.9910463,127.1052729
함소아한의원,"경기도 평택시 평남로 717, 2층 (비전동, 트윈플라자)",36.9948337,127.1137164
해달천한의원,"경기도 평택시 현촌1로 54, 2층 (용이동, 현촌프라자)",36.9981841,127.1338002
해뜸한의원,"경기도 평택시 평택로 93-1, (통복동)",36.9948477,127.0835524
햇살한의원,"경기도 평택시 서정역로 43, (서정동)",37.0578729,127.0554472
홍한의원,"경기도 평택시 관광특구로 11, 2층 (서정동)",37.0673407,127.0602611
효경한의원,"경기도 평택시 비전6길 15, 1층 (비전동)",37.0045735,127.1019718
효재한의원,"경기도 평택시 평남로 858, (비전동, 삼성타워)",37.0001292,127.1115767
